outprefix,dataset,njobs,timeinsecs
XGB-CV,GMSC,1,47.284337300
jfr-XGB-CV,GMSC,1,39.143385100
XGB-noCV,GMSC,2,12.397563800
jfr-XGB-noCV,GMSC,2,12.956396800
XGB-noCV,GMSC,4,11.504107400
jfr-XGB-noCV,GMSC,4,12.470948900
RFC-noCV,covtypeNorm,1,241.463785900
jfr-RFC-noCV,covtypeNorm,1,239.841443500
RFC-noCV,covtypeNorm,2,167.568753600
jfr-RFC-noCV,covtypeNorm,2,172.975340100
RFC-noCV,GMSC,1,53.241103900
jfr-RFC-noCV,GMSC,1,52.124864400
RFC-noCV,GMSC,2,37.580396600
jfr-RFC-noCV,GMSC,2,38.049184100
